=========================================
This for gpu 0
=========================================
937
step=287	smmoth=0.282883	cost=0.261132	acc:0.921875
step=288	smmoth=0.269485	cost=0.148903	acc:0.953125
step=289	smmoth=0.261034	cost=0.184975	acc:0.968750
step=290	smmoth=0.277539	cost=0.426090	acc:0.843750
step=291	smmoth=0.278854	cost=0.290681	acc:0.875000
step=292	smmoth=0.289769	cost=0.388006	acc:0.890625
step=293	smmoth=0.303703	cost=0.429116	acc:0.859375
step=294	smmoth=0.326243	cost=0.529097	acc:0.843750
step=295	smmoth=0.359829	cost=0.662109	acc:0.796875
step=296	smmoth=0.375611	cost=0.517649	acc:0.875000
step=297	smmoth=0.374005	cost=0.359542	acc:0.875000
step=298	smmoth=0.354422	cost=0.178180	acc:0.968750
step=299	smmoth=0.332184	cost=0.132044	acc:0.984375
step=300	smmoth=0.312761	cost=0.137953	acc:0.953125
step63	all_loss0.225910	all_ccc=59.000000	rate0.936508
step127	all_loss0.428224	all_ccc=118.000000	rate0.929134
step191	all_loss0.550242	all_ccc=181.000000	rate0.947644
step255	all_loss0.815790	all_ccc=240.000000	rate0.941176
step319	all_loss1.095278	all_ccc=299.000000	rate0.937304
step383	all_loss1.421543	all_ccc=357.000000	rate0.932115
step447	all_loss1.620603	all_ccc=419.000000	rate0.937360
step511	all_loss1.973438	all_ccc=475.000000	rate0.929550
step575	all_loss2.335404	all_ccc=531.000000	rate0.923478
step639	all_loss2.637355	all_ccc=586.000000	rate0.917058
step703	all_loss2.879718	all_ccc=646.000000	rate0.918919
step767	all_loss3.181416	all_ccc=706.000000	rate0.920469
step831	all_loss3.280855	all_ccc=770.000000	rate0.926594
step895	all_loss3.480437	all_ccc=829.000000	rate0.926257
step959	all_loss3.840429	all_ccc=885.000000	rate0.922836
step1023	all_loss4.128895	all_ccc=944.000000	rate0.922776
step1087	all_loss4.343949	all_ccc=1002.000000	rate0.921803
step1151	all_loss4.731809	all_ccc=1060.000000	rate0.920938
step1215	all_loss5.090075	all_ccc=1113.000000	rate0.916049
step1279	all_loss5.641630	all_ccc=1167.000000	rate0.912432
step1343	all_loss6.038462	all_ccc=1225.000000	rate0.912137
step1407	all_loss6.238054	all_ccc=1286.000000	rate0.914001
step1471	all_loss6.614605	all_ccc=1341.000000	rate0.911625
step1535	all_loss7.012187	all_ccc=1398.000000	rate0.910749
step1599	all_loss7.350173	all_ccc=1458.000000	rate0.911820
step1663	all_loss7.606278	all_ccc=1518.000000	rate0.912808
step1727	all_loss7.982508	all_ccc=1575.000000	rate0.911986
step1791	all_loss8.460123	all_ccc=1632.000000	rate0.911223
step1855	all_loss8.607221	all_ccc=1694.000000	rate0.913208
step1919	all_loss8.951898	all_ccc=1750.000000	rate0.911933
step1983	all_loss9.262574	all_ccc=1807.000000	rate0.911246
step2047	all_loss9.718406	all_ccc=1864.000000	rate0.910601
